Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,Target,TargetClass
1989-03-08,0.24467100203037262,0.24467100203037262,0.24467100203037262,0.24467100203037262,-119575.65625,0,16.46922202755812,-95283.8928125,-97871.38235884845,-108015.98984375,-91032.28549012715,-124999.69419737284,-118411.015625,1164.640625,1
1989-03-09,0.2422879934310913,0.2422879934310913,0.2422879934310913,0.2422879934310913,-118411.015625,0,22.665249922521806,-96231.17859375,-98676.85817320735,-108675.98046875,-91134.46583441115,-126217.49510308885,-120352.25,-1941.234375,0
1989-03-10,0.24626000225543976,0.24626000225543976,0.24626000225543976,0.24626000225543976,-120352.25,0,25.37164596518619,-97209.52859375,-99526.87353896393,-109665.981640625,-91822.59666173748,-127509.36661951253,-123458.0859375,-3105.8359375,0
1989-03-13,0.2526150047779083,0.2526150047779083,0.2526150047779083,0.2526150047779083,-123458.0859375,0,22.97133468001162,-98249.9953125,-100465.35245655359,-111044.22421875,-93423.19693369731,-128665.25150380268,-123069.9921875,388.09375,1
1989-03-14,0.25182101130485535,0.25182101130485535,0.25182101130485535,0.25182101130485535,-123069.9921875,0,22.971627946187464,-99282.70015625,-101351.8089165907,-112325.404296875,-95146.66939338442,-129504.13920036558,-126563.875,-3493.8828125,0
1989-03-15,0.2589699923992157,0.2589699923992157,0.2589699923992157,0.2589699923992157,-126563.875,0,20.480784361076097,-100342.57765625,-102340.5173904499,-113917.16484375,-97732.81776317244,-130101.51192432755,-125981.3125,582.5625,1
1989-03-16,0.25777798891067505,0.25777798891067505,0.25777798891067505,0.25777798891067505,-125981.3125,0,23.56619858113121,-101375.27296875,-103267.60739474598,-115343.9109375,-100281.04375741635,-130406.77811758364,-127728.453125,-1747.140625,0
1989-03-17,0.2613529860973358,0.2613529860973358,0.2613529860973358,0.2613529860973358,-127728.453125,0,15.13149672515908,-102446.79125,-104226.85624691281,-116605.662890625,-101850.62020622092,-131360.70557502907,-125399.2421875,2329.2109375,1
1989-03-20,0.2565869987010956,0.2565869987010956,0.2565869987010956,0.2565869987010956,-125399.2421875,0,21.604388025646834,-103436.7915625,-105057.14589164173,-117498.601953125,-102892.68427027788,-132104.51963597213,-126563.875,-1164.6328125,0
1989-03-21,0.2589699923992157,0.2589699923992157,0.2589699923992157,0.2589699923992157,-126563.875,0,24.47503990957582,-104446.19453125,-105900.54703314598,-118430.3734375,-104018.69495490221,-132842.0519200978,-126369.8125,194.0625,1
1989-03-22,0.2585729956626892,0.2585729956626892,0.2585729956626892,0.2585729956626892,-126369.8125,0,31.303351463191934,-105459.486875,-106703.2633259638,-119371.841015625,-105505.74803869058,-133237.9339925594,-130834.3046875,-4464.4921875,0
